problem,baseline,ex_affeq_direct_HW_efficient_n6,ex_affeq_direct_all_efficient_n6,ex_affeq_direct_conn_efficient_n6,ex_affeq_direct_n6,ex_affeq_direct_twoway_efficient_n6
0158_sat,0.061,678.53,206.3,2351.99,688.52,308.45
0159_rand,0.006999999999999999,114.57,150.66,1372.09,1092.86,1632.17
0160_sat,0.01,883.92,138.79,611.84,65.59,1219.48
0161_rand,0.006,0.03,0.04,1312.37,1143.89,1783.07
0162_sat,0.006,1677.7,785.79,1055.47,445.86,1846.69
0163_rand,0.006,1646.6,1588.11,2799.61,2151.42,2574.61
0164_sat,0.037000000000000005,430.57,80.04,1245.01,989.91,1383.19
0165_rand,0.006,206.68,275.05,417.57,397.09,460.67
0166_sat,0.017,714.48,444.1,375.7,701.83,1188.02
0167_rand,0.006999999999999999,339.41,399.73,1839.81,2313.07,1880.59
0168_sat,0.02,21.75,250.81,1286.5,492.32,781.17
0169_rand,0.005,0.03,0.05,1170.54,1248.55,1338.06
0170_sat,0.035,333.21,19.51,563.47,1050.06,1300.09
0171_rand,0.006999999999999999,1016.15,1128.27,1704.42,1748.87,2378.46
0172_sat,0.063,117.62,595.68,2190.48,1730.83,
0173_rand,0.006,0.04,0.07,624.83,614.33,738.83
0174_sat,0.009000000000000001,289.15,129.58,385.2,340.26,44.01
0175_rand,0.006999999999999999,0.03,0.07,306.99,329.07,259.75
0176_sat,0.055999999999999994,325.95,343.52,1042.09,318.3,31.74
0177_rand,0.009000000000000001,1019.93,653.53,1506.41,1308.74,1832.59
0178_sat,0.006999999999999999,440.48,896.87,245.52,248.04,536.6
0179_rand,0.004,0.03,0.05,2338.11,2009.26,2398.09
0180_sat,0.006999999999999999,863.14,943.35,193.17,844.27,1576.82
0181_rand,0.006,808.52,911.67,1308.71,1480.61,1641.04
0182_sat,0.006999999999999999,46.31,31.1,742.86,1943.33,996.35
0183_rand,0.005,0.03,0.06,693.85,565.19,751.62
0184_sat,0.017,798.24,137.81,648.66,753.88,766.39
0185_rand,0.005,0.03,0.05,1876.05,1607.72,1774.4
0186_sat,0.015,415.24,207.44,680.85,628.6,434.43
0187_rand,0.005,0.03,0.07,677.09,628.94,716.15
0188_sat,0.006,759.8,149.39,1066.86,1036.18,1450.79
0189_rand,0.005,1690.38,344.81,2489.91,3392.94,3214.58
0190_sat,0.039,340.18,428.27,540.66,1024.58,307.95
0191_rand,0.004,0.03,0.05,1258.1,1457.36,1387.38
0192_sat,0.013000000000000001,594.8,168.68,1607.39,1360.3,2449.26
0193_rand,0.005,1747.63,2044.21,,3053.84,
0194_sat,0.05,707.54,575.48,1891.16,261.88,2038.09
0195_rand,0.005,828.6,618.44,1438.02,1483.93,2040.46
0196_sat,0.006999999999999999,1025.46,1341.2,529.53,911.27,1114.49
0197_rand,0.006,640.16,594.57,1018.76,1287.22,1456.45
0198_sat,0.011000000000000001,1310.62,775.1,2163.55,1105.73,464.89
0199_rand,0.004,0.03,0.07,1734.21,1479.09,2730.44
0200_sat,0.304,964.14,398.02,1095.44,911.2,1082.57
0201_rand,0.004,0.03,0.05,1352.72,1031.39,1285.2
0202_sat,0.166,546.24,236.29,1639.18,1296.48,347.45
0203_rand,0.006,1130.43,776.87,1860.16,1355.49,1917.85
0204_sat,0.009000000000000001,330.42,388.32,117.77,1549.28,1060.21
0205_rand,0.005,1632.93,134.39,2159.64,1756.44,2256.13
0206_sat,0.012,87.68,221.61,545.79,94.56,694.33
0207_rand,0.006,1657.16,1301.05,2977.11,2178.25,2630.18
0208_sat,0.109,694.93,633.54,954.58,533.7,2746.14
0209_rand,0.006999999999999999,0.03,0.06,1884.09,1845.17,1883.05
0210_sat,0.006999999999999999,106.11,23.44,233.74,164.58,296.3
0211_rand,0.006999999999999999,1916.87,1740.77,2522.08,2082.78,1979.02
0212_sat,0.006999999999999999,586.43,328.84,764.48,400.76,39.12
0213_rand,0.005,0.03,0.05,629.17,662.26,789.9
0214_sat,0.006999999999999999,179.61,338.69,1087.85,104.78,1405.13
0215_rand,0.006999999999999999,729.94,671.08,1460.41,1899.48,2465.13
0216_sat,0.094,527.14,2281.81,1629.58,662.48,1672.83
0217_rand,0.008,1679.27,667.67,3020.62,2077.45,
0218_sat,0.02,119.3,56.76,16.33,33.63,254.29
0219_rand,0.005,0.03,0.05,1549.74,1538.19,1753.88
0220_sat,0.008,497.4,49.0,1489.27,554.62,1379.01
0221_rand,0.005,0.03,0.04,466.08,536.21,590.53
0222_sat,0.027999999999999997,307.02,161.06,490.43,74.93,299.16
0223_rand,0.006999999999999999,241.21,264.93,669.56,709.52,741.16
0224_sat,0.021,302.3,580.28,1361.15,1268.1,2278.19
0225_rand,0.006999999999999999,0.03,0.05,1459.33,1348.7,1193.69
0226_sat,0.009000000000000001,405.02,452.5,719.2,237.62,1628.78
0227_rand,0.006999999999999999,0.03,0.07,1134.16,1225.12,1370.49
0228_sat,0.013999999999999999,453.31,252.81,1537.42,24.63,727.68
0229_rand,0.008,643.38,38.19,1329.78,1465.37,1822.95
0230_sat,0.084,937.13,135.25,584.36,1436.76,863.92
0231_rand,0.006999999999999999,0.03,0.05,3161.84,,
0232_sat,0.016,841.54,949.89,1125.38,790.99,311.08
0233_rand,0.005,0.03,0.06,1488.06,1780.86,1359.17
0234_sat,0.098,34.24,824.8,608.41,1096.77,1035.86
0235_rand,0.006,0.03,0.05,516.15,562.46,430.41
0236_sat,0.139,1469.44,866.44,488.97,2818.67,2650.44
0237_rand,0.006999999999999999,200.44,143.09,363.95,368.34,417.23
0238_sat,0.018000000000000002,31.6,1605.38,2127.97,426.68,275.34
0239_rand,0.006999999999999999,0.03,0.05,1340.91,1423.75,1515.72
0240_sat,0.01,1494.21,667.1,521.38,288.93,1231.11
0241_rand,0.006999999999999999,0.03,0.05,1275.89,1766.28,2114.56
0242_sat,0.013000000000000001,174.86,300.62,214.43,911.23,276.33
0243_rand,0.006999999999999999,250.2,200.72,1046.83,1286.64,1276.21
0244_sat,0.011000000000000001,95.89,711.4,500.97,1921.13,309.25
0245_rand,0.004,0.03,0.04,672.6,653.7,773.81
0246_sat,0.031,120.94,24.18,1082.46,235.77,452.0
0247_rand,0.005,2556.12,2756.98,2148.96,2504.53,2938.41
0248_sat,0.006,56.53,598.82,820.56,205.17,731.09
0249_rand,0.004,0.03,0.09,2459.95,2275.66,2353.29
0250_sat,0.012,776.0,820.28,831.31,429.65,1927.73
0251_rand,0.004,0.03,0.06,2511.91,2156.82,1981.32
0252_sat,0.01,328.36,555.93,1913.2,1268.44,1814.6
0253_rand,0.005,623.86,578.83,1082.75,954.77,1277.81
0254_sat,0.099,20.69,25.68,296.24,163.71,106.13
0255_rand,0.005,2906.36,2145.78,2903.62,,2354.66
0256_sat,0.009000000000000001,69.18,61.01,1314.62,789.29,123.25
0257_rand,0.004,0.03,0.05,1102.85,1151.86,1151.35
0258_sat,0.013000000000000001,1946.75,8.27,462.47,772.74,
0259_rand,0.004,0.03,0.05,1998.05,2457.63,3085.31
0260_sat,0.066,19.82,129.53,97.2,419.76,705.94
0261_rand,0.005,0.03,0.08,890.36,847.94,1080.82
0262_sat,0.012,603.17,507.18,544.43,1123.8,888.41
0263_rand,0.004,0.03,0.04,2201.3,2098.35,2293.36
0264_sat,0.006,363.38,474.09,251.49,278.75,1689.46
0265_rand,0.005,0.03,0.05,1960.96,1389.27,1858.81
0266_sat,0.017,416.76,333.85,484.04,294.65,845.86
0267_rand,0.006,649.36,768.34,1414.91,1368.89,1425.83
0268_sat,0.021,262.52,121.88,243.6,99.59,170.42
0269_rand,0.005,0.02,0.04,886.64,1001.96,1122.38
0270_sat,0.009000000000000001,305.34,432.15,1799.95,1445.94,1497.07
0271_rand,0.005,0.03,0.04,2080.78,1663.86,
0272_sat,0.009000000000000001,80.09,344.56,596.29,1109.49,2097.08
0273_rand,0.005,0.03,0.06,644.64,530.73,573.64
0274_sat,0.038,186.97,190.43,679.53,817.1,468.06
0275_rand,0.006,825.05,1231.23,2245.02,2145.96,2595.82
0276_sat,0.006999999999999999,1122.98,100.58,1571.02,1983.58,2429.0
0277_rand,0.005,0.03,0.06,1586.58,1816.2,2175.15
0278_sat,0.008,37.87,605.45,1131.69,1386.35,773.97
0279_rand,0.006,0.03,0.05,908.04,690.05,731.88
0280_sat,0.006,1365.5,263.63,348.92,510.57,933.19
0281_rand,0.005,0.04,0.09,1404.21,1272.0,1215.04
0282_sat,0.015,599.25,849.94,1203.35,1661.08,2348.14
0283_rand,0.005,0.03,0.04,2310.4,2186.94,2639.23
0284_sat,0.016,1105.28,899.86,1086.61,348.23,1432.1
0285_rand,0.005,0.03,0.09,1052.88,1026.99,1160.22
0286_sat,0.009000000000000001,101.21,117.2,910.17,1008.12,666.51
0287_rand,0.006,0.03,0.11,1258.21,1234.31,1764.03
0288_sat,0.016,143.33,97.57,1141.14,1034.19,1531.05
0289_rand,0.005,1309.93,1067.51,2094.66,1768.5,1808.22
0290_sat,0.006,243.07,342.19,1080.43,999.38,1171.37
0291_rand,0.004,591.62,809.88,1068.07,1090.95,1325.31
0292_sat,0.027999999999999997,451.18,280.42,632.39,769.35,229.19
0293_rand,0.005,0.03,0.05,1119.96,1139.69,1146.5
0294_sat,0.171,1059.73,516.39,1061.07,2057.74,681.2
0295_rand,0.005,1580.01,1667.28,2734.96,,
0296_sat,0.006999999999999999,431.62,221.39,1066.43,531.42,267.25
0297_rand,0.004,0.03,0.05,2310.48,2399.64,
0298_sat,0.018000000000000002,31.49,38.7,296.75,56.85,163.43
0299_rand,0.005,0.04,0.06,683.07,818.71,766.34
0300_sat,0.008,6.44,14.0,361.62,286.92,625.2
0301_rand,0.006,850.69,274.11,1412.81,1781.77,2186.06
0302_sat,0.015,21.75,41.4,574.62,293.95,692.91
0303_rand,0.005,0.03,0.05,2356.53,1947.47,2488.21
0304_sat,0.008,485.16,153.13,990.29,674.87,1019.22
0305_rand,0.004,0.03,0.04,934.81,938.31,1046.04
0306_sat,0.006,1367.77,44.0,848.81,11.79,
0307_rand,0.006,0.03,0.05,1901.42,1485.2,2037.96
0308_sat,0.006,949.05,250.02,899.02,971.65,1541.24
0309_rand,0.006,1631.92,215.56,1930.9,2725.98,
0310_sat,0.006999999999999999,99.77,677.22,143.43,1216.14,171.28
0311_rand,0.006999999999999999,756.78,834.73,963.38,1004.19,1058.64
0312_sat,0.006,1566.49,82.61,1730.1,571.73,1630.0
0313_rand,0.006,411.68,331.8,632.67,500.69,592.19
0314_sat,0.01,214.83,734.45,185.92,507.74,1037.13
0315_rand,0.005,0.03,0.08,2219.17,2051.1,2741.2
0316_sat,0.009000000000000001,48.03,69.1,716.04,690.65,1122.02
0317_rand,0.005,0.03,0.06,1700.63,1477.66,2307.36
0318_sat,1.084,77.74,48.07,104.16,264.6,123.09
0319_rand,0.006,0.03,0.06,795.56,835.74,919.57
0320_sat,0.008,1769.28,591.18,786.34,2703.86,
0321_rand,0.006,1320.89,785.72,2599.57,2308.02,2751.89
0322_sat,0.012,392.85,149.51,1070.52,1228.96,100.43
0323_rand,0.006,0.04,0.07,1747.98,1780.91,2839.46
0324_sat,0.013000000000000001,227.04,33.14,190.58,57.25,144.18
0325_rand,0.006999999999999999,590.83,287.75,757.98,752.72,778.03
0326_sat,0.013000000000000001,1014.26,140.06,1243.54,141.68,746.19
0327_rand,0.005,0.03,0.05,447.33,420.01,422.96
0328_sat,0.011000000000000001,1636.61,1971.77,40.85,1972.01,426.2
0329_rand,0.006,2246.73,2029.96,,,
0330_sat,0.013000000000000001,384.75,58.34,865.24,226.66,1060.58
0331_rand,0.006,285.31,312.36,474.98,421.48,510.52
0332_sat,0.022000000000000002,313.31,780.88,610.43,1098.87,1875.5
0333_rand,0.006,1267.84,958.95,2368.35,1372.81,3016.0
0334_sat,0.009000000000000001,25.69,626.63,1447.3,2017.92,1860.77
0335_rand,0.005,0.03,0.07,795.18,786.38,964.53
0336_sat,0.011000000000000001,365.76,126.4,615.37,175.78,174.59
0337_rand,0.005,762.16,1487.07,1168.56,1182.12,1325.49
0338_sat,0.018000000000000002,490.7,281.73,67.95,879.37,375.3
0339_rand,0.004,0.03,0.04,2194.84,1486.58,2983.82
0340_sat,0.14,199.37,73.53,24.29,880.78,1007.79
0341_rand,0.006,485.15,582.86,1476.97,1314.08,2229.4
0342_sat,0.01,73.61,21.66,209.89,767.71,698.82
0343_rand,0.006,0.03,0.06,1407.01,1032.52,1315.63
0344_sat,0.012,2.52,8.25,560.62,1383.37,1351.71
0345_rand,0.006,765.88,294.35,1336.75,1006.57,1188.84
0346_sat,0.013999999999999999,400.97,544.04,294.51,671.23,553.68
0347_rand,0.006999999999999999,1319.23,1441.91,2178.24,3117.33,2581.83
0348_sat,0.006,758.23,45.26,517.22,803.83,1670.0
0349_rand,0.006,528.4,428.05,1165.79,1067.38,931.6
0350_sat,0.028999999999999998,426.14,1502.09,68.38,895.69,2443.36
0351_rand,0.005,0.02,0.09,2847.18,2402.85,
0352_sat,0.006,846.25,319.98,1028.2,2082.17,1944.66
0353_rand,0.005,0.03,0.05,2656.43,2533.95,2576.23
0354_sat,0.021,713.76,1199.43,2638.45,1642.68,2315.38
0355_rand,0.006,905.93,854.22,1297.77,1369.47,1628.43
0356_sat,0.09,229.33,699.33,693.97,345.27,1409.51
0357_rand,0.006,1723.58,1258.98,2059.39,2767.66,
0358_sat,0.008,974.71,791.37,272.05,1666.48,1091.21
0359_rand,0.005,0.03,0.05,665.41,652.48,604.47
0360_sat,0.015,1905.78,1538.49,79.02,1161.1,3032.3
0361_rand,0.006,178.94,209.34,499.51,592.91,522.24
0362_sat,0.036000000000000004,53.6,53.02,1275.71,1005.67,1981.24
0363_rand,0.006999999999999999,1880.35,1236.49,,2575.29,3363.03
